project,req_id,text,type,priority,hybrid_label,source,filename,n_chars,n_words
Erzurum Teknik Universitesi Ogrenci Urunleri Sats Sistemi,21,"Web arayüzü, farkluc0u305 ekran boyutlaru305 nda (laptop, tablet, telefon) düzgün çalu305 u351 acak u351 ekilde responsive tasaru305 m ilkelerine uygun olarak geliu351 tirilmelidir.",NFR,Should,NFR-Should,ETU,Erzurum Teknik Universitesi Ogrenci Urunleri Sats Sistemi.xml,181,23
Erzurum Teknik Universitesi Ogrenci Urunleri Sats Sistemi,22,"Sistem, katmanluc0u305 bir mimari ile (veri eriu351 im katmanu305 , iu351 mantu305 u287 u305 katmanu305 , sunum/ön yüz katmanu305 ) tasarlanmalu305 ve UML diyagramlaru305 , use-case diyagramlaru305 ve veri tabanu305 u351 ema diyagramlaru305 yla dokümante edilmelidir.",NFR,Should,NFR-Should,ETU,Erzurum Teknik Universitesi Ogrenci Urunleri Sats Sistemi.xml,267,36
Erzurum Teknik Universitesi Ogrenci Urunleri Sats Sistemi,23,"Sistem, artan kullanuc0u305 cu305 sayu305 su305 ve ürün sayu305 su305 karu351 u305 su305 nda performans bozulmasu305 nu305 en aza indirmek için veritabanu305 indeksleme, sorgu optimizasyonu ve caching mekanizmalaru305 ndan yararlanmalu305 du305 r.",NFR,Should,NFR-Should,ETU,Erzurum Teknik Universitesi Ogrenci Urunleri Sats Sistemi.xml,247,32
Erzurum Teknik Universitesi Ogrenci Urunleri Sats Sistemi,24,"Sistem, ürün ekleme/güncelleme, sipariuc0u351 oluu351 turma, ödeme denemeleri ve hatalar gibi kritik olaylaru305 zaman damgalu305 loglar hâlinde kaydederek izlenebilirliu287 i sau287 lamalu305 du305 r.",NFR,Should,NFR-Should,ETU,Erzurum Teknik Universitesi Ogrenci Urunleri Sats Sistemi.xml,201,24
Erzurum Teknik Universitesi Ogrenci Urunleri Sats Sistemi,25,"Proje, analiz, tasaruc0u305 m ve uygulama au351 amalaru305 nu305 ; kullanu305 lan diller, kütüphaneler (.NET Core, REST API, Angular/React/Flutter vb.) ve algoritmalaru305 detaylandu305 ran bir teknik rapor/tez ile birlikte sunulmalu305 du305 r.",NFR,Should,NFR-Should,ETU,Erzurum Teknik Universitesi Ogrenci Urunleri Sats Sistemi.xml,245,32
Erzurum Teknik Universitesi Ogrenci Urunleri Sats Sistemi,26,"Sistem, ileride React Native veya Flutter tabanluc0u305 bir mobil uygulama ile aynu305 REST API’yi kullanacak u351 ekilde tasarlanarak mobil istemcilerin kolay entegrasyonuna imkan sau287 layabilir.",NFR,Could,NFR-Could,ETU,Erzurum Teknik Universitesi Ogrenci Urunleri Sats Sistemi.xml,198,25
Erzurum Teknik Universitesi Ogrenci Urunleri Sats Sistemi,27,"Sistem, Docker veya benzeri konteyner teknolojileriyle paketlenerek farkluc0u305 sunucu ortamlara (test, üretim) kolay kuruluma uygun hâle getirilebilir.",NFR,Could,NFR-Could,ETU,Erzurum Teknik Universitesi Ogrenci Urunleri Sats Sistemi.xml,153,17
Erzurum Teknik Universitesi Ogrenci Urunleri Sats Sistemi,28,"Sistem, temel hata ve performans metriklerini gösteren basit bir yönetim paneli (dashboard) ile anluc0u305 k aktif kullanu305 cu305 sayu305 su305 , sipariu351 sayu305 su305 ve hata oranlaru305 nu305 görselleu351 tirebilir.",NFR,Could,NFR-Could,ETU,Erzurum Teknik Universitesi Ogrenci Urunleri Sats Sistemi.xml,222,30
Erzurum Teknik Universitesi Ogrenci Urunleri Sats Sistemi,29,"Sistem, çoklu dil desteuc0u287 i (Türkçe, u304 ngilizce vb.) sunarak yabancu305 uyruklu öu287 rencilerin de mau287 azayu305 kendi dilinde kullanabilmesini sau287 layabilir.",NFR,Could,NFR-Could,ETU,Erzurum Teknik Universitesi Ogrenci Urunleri Sats Sistemi.xml,172,22
Erzurum Teknik Universitesi Ogrenci Urunleri Sats Sistemi,30,"Sistem, ETÜ duc0u305 u351 u305 na açu305 lma veya farklu305 üniversitelere uyarlanma ihtimaline karu351 u305 , ürün ve tema yapu305 landu305 rmalaru305 nu305 n parametrik olarak yönetilebildiu287 i esnek bir mimariye sahip olabilir.",NFR,Could,NFR-Could,ETU,Erzurum Teknik Universitesi Ogrenci Urunleri Sats Sistemi.xml,232,33
Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi,1,"Sistem, RLHF sürecinin tercih hizalama auc0u351 amasu305 nda kullanu305 lmak üzere bir ödül modeli (reward model) eu287 itebilmeli ve verilen bir soru ve aday yanu305 tlar arasu305 ndan tercih edilen yanu305 tu305 tahmin edebilmelidir.",FR,Must,FR-Must,ETU,Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi.xml,235,34
Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi,2,"Sistem, UltraFeedback veri kümesindeki çok boyutlu puanlaruc0u305 (instruction-following, truthfulness, helpfulness vb.) kullanarak kullanu305 cu305 ya özgü tercih dau287 u305 lu305 mlaru305 simüle edebilmelidir.",FR,Must,FR-Must,ETU,Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi.xml,212,23
Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi,3,"Sistem, kullanuc0u305 cu305 kimliu287 ini veya kullanu305 cu305 ya ait tercih örneklerini girdi olarak alan kou351 ullu ödül modelini (conditional reward model) eu287 iterek aynu305 sorgu için farklu305 kullanu305 cu305 lar adu305 na farklu305 tercih tahminleri üretebilmelidir.",FR,Must,FR-Must,ETU,Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi.xml,278,37
Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi,4,"Sistem, VAE-tabanluc0u305 kou351 ullu ödül modeli mimarisinde yer alan çift kodlayu305 cu305 (pair encoder), dizi kodlayu305 cu305 (sequence encoder) ve decoder modüllerini uygulayarak kullanu305 cu305 ya ait gizil tercih deu287 iu351 kenini (latent embedding) üretebilmelidir.",FR,Must,FR-Must,ETU,Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi.xml,277,35
Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi,5,"Sistem, Bradley-Terry-Luce (BTL) tercih modeli kullanarak iki yanuc0u305 t arasu305 ndaki olasu305 lu305 klaru305 hesaplamalu305 ve maksimum olabilirlik hedef fonksiyonu ile ödül modelini optimize edebilmelidir.",FR,Must,FR-Must,ETU,Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi.xml,211,25
Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi,6,"Sistem, few-shot prompting tabanluc0u305 temel yöntemi uygulayarak kullanu305 cu305 ya ait birkaç tercih örneu287 ini prompt içinde verip, bu yöntemin dou287 ruluu287 unu kou351 ullu ödül modeliyle karu351 u305 lau351 tu305 rmalu305 olarak raporlayabilmelidir.",FR,Should,FR-Should,ETU,Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi.xml,260,34
Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi,7,"Sistem, farkluc0u305 kullanu305 cu305 gruplaru305 için benzetilmiu351 tercih vektörlerini (örneu287 in Dirichlet dau287 u305 lu305 mu305 ndan örneklenen au287 u305 rlu305 klar) üretebilmeli ve bu kullanu305 cu305 laru305 n tercih ettiu287 i yanu305 tlaru305 otomatik olarak hesaplayabilmelidir.",FR,Should,FR-Should,ETU,Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi.xml,294,37
Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi,8,"Sistem, kouc0u351 ullu ödül modeli eu287 itimi su305 rasu305 nda kullanu305 cu305 bau351 u305 na eu287 itim ve test alt kümeleri oluu351 turmalu305 ve her kullanu305 cu305 için ayru305 dou287 ruluk deu287 erlerini hesaplayabilmelidir.",FR,Should,FR-Should,ETU,Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi.xml,234,34
Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi,9,"Sistem, VAE-tabanluc0u305 model ile geleneksel, kullanu305 cu305 dan bau287 u305 msu305 z ödül modelini aynu305 veri kümesi üzerinde eu287 iterek dou287 ruluk, kayu305 p ve standart sapma gibi metriklerle karu351 u305 lau351 tu305 rma raporu üretebilmelidir.",FR,Should,FR-Should,ETU,Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi.xml,258,36
Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi,10,"Sistem, adaptif örnekleme (adaptive sampling) stratejisini uygulayarak kullanuc0u305 cu305 kümelerini fazlar hâlinde eu287 itebilmeli ve bu stratejinin eu287 itim kararlu305 lu305 u287 u305 na ve yaku305 nsama hu305 zu305 na etkisini ayru305 deneylerle gösterebilmelidir.",FR,Should,FR-Should,ETU,Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi.xml,271,34
Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi,11,"Sistem, MGDA ve PCGrad gibi çok amaçluc0u305 optimizasyon kökenli gradyan düzenleme yöntemlerini entegre ederek farklu305 kullanu305 cu305 laru305 n kayu305 plaru305 ndan türeyen gradyanlaru305 birleu351 tirebilir.",FR,Could,FR-Could,ETU,Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi.xml,214,26
Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi,12,"Sistem, encoder tarafuc0u305 ndan üretilen kullanu305 cu305 gömülerine (latent embedding) ek bir karu351 u305 t öu287 renme (contrastive learning) kaybu305 ekleyerek aynu305 kullanu305 cu305 ya ait gömüleri yaku305 nlau351 tu305 ru305 p farklu305 kullanu305 cu305 laru305 nkini uzaklau351 tu305 ran bir eu287 itim modu sunabilir.",FR,Could,FR-Could,ETU,Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi.xml,329,45
Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi,13,"Sistem, t-SNE veya benzeri boyut indirgeme yöntemleriyle gizil kullanuc0u305 cu305 uzayu305 nu305 görselleu351 tirerek farklu305 kullanu305 cu305 kümeleri arasu305 ndaki ayru305 u351 mayu305 grafikler hâlinde gösterebilir.",FR,Could,FR-Could,ETU,Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi.xml,222,26
Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi,14,"Sistem, Llama-3 gibi daha büyük bir dil modelini yalnuc0u305 zca çu305 karu305 m için kullanarak ayru305 ntu305 lu305 kullanu305 cu305 hikâyeleri (user stories) ile rol yapma temelli tercih simülasyonu gerçekleu351 tirebilir.",FR,Could,FR-Could,ETU,Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi.xml,225,31
Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi,15,"Sistem, skor verme modunda (scoring mode) her yanuc0u305 t için çok boyutlu puanlar üretip bu skorlaru305 birleu351 tirerek hangi yanu305 tu305 n ilgili kullanu305 cu305 tarafu305 ndan daha olasu305 tercih edileceu287 ini hesaplayan ek bir deu287 erlendirme arayüzü sau287 layabilir.",FR,Could,FR-Could,ETU,Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi.xml,283,40
Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi,16,"Sistem, VAE-tabanluc0u305 kou351 ullu ödül modelini eu287 itirken eu287 itim sürecinin kararlu305 lu305 u287 u305 nu305 izlemeli ve yaku305 nsamayan veya kaybu305 n düu351 mediu287 i kou351 ularu305 tespit edebilecek deu287 erlendirme mekanizmalaru305 na sahip olmalu305 du305 r.",NFR,Must,NFR-Must,ETU,Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi.xml,279,38
Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi,17,"Sistem, kullanuc0u305 lan hiperparametreleri (öu287 renme oranu305 , latent boyut, batch size, beta katsayu305 su305 vb.), rastgelelik tohumlaru305 nu305 ve veri filtreleme adu305 mlaru305 nu305 kayu305 t altu305 na alarak deneylerin yeniden üretilebilirliu287 ini sau287 lamalu305 du305 r.",NFR,Must,NFR-Must,ETU,Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi.xml,290,38
Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi,18,"Sistem, tek bir GPU (örn. A100/A6000) üzerinde çaluc0u305 u351 acak u351 ekilde tasarlanmalu305 ve eu287 itim su305 rasu305 nda bellek tau351 masu305 veya süreç çökmesi olmadan büyük dil modeli bileu351 enlerini güvenli u351 ekilde çalu305 u351 tu305 rabilmelidir.",NFR,Must,NFR-Must,ETU,Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi.xml,264,38
Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi,19,"Sistem, farkluc0u305 kullanu305 cu305 lar arasu305 ndaki tercih çatu305 u351 malaru305 ndan kaynaklanan gradyan dalgalanmalaru305 nu305 yönetebilecek ve model kaybu305 nu305 n uzun süre sabit kalmasu305 nu305 engelleyecek bir eu287 itim stratejisine (örn. adaptif örnekleme) sahip olmalu305 du305 r.",NFR,Must,NFR-Must,ETU,Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi.xml,299,39
Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi,20,"Sistem, kullanuc0u305 cu305 tercih verilerinde anonimlik ve gizlilik ilkelerine uymalu305 ; gerçek kullanu305 cu305 verisi kullanu305 ldu305 u287 u305 nda kimlik bilgilerini saklamamalu305 ve yalnu305 zca arau351 tu305 rma amaçlu305 sentetik veya anonim verilerle çalu305 u351 malu305 du305 r.",NFR,Must,NFR-Must,ETU,Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi.xml,293,39
Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi,21,"Kod tabanuc0u305 , veri hazu305 rlama, kullanu305 cu305 simulasyonu, kou351 ullu ödül modeli, few-shot prompting deneyleri ve rol yapma deneylerini modüllere ayu305 ran, geniu351 letilebilir ve baku305 mu305 kolay bir yapu305 da olmalu305 du305 r.",NFR,Should,NFR-Should,ETU,Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi.xml,247,35
Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi,22,"Sistem, euc0u287 itim ve deu287 erlendirme su305 rasu305 nda dou287 ruluk, kayu305 p, ELPD benzeri metrikler ve çalu305 u351 ma süresi gibi ölçümleri ayru305 ntu305 lu305 olarak log dosyalaru305 na kaydedebilmelidir.",NFR,Should,NFR-Should,ETU,Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi.xml,216,31
Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi,23,"Sistem, adaptif örnekleme stratejisiyle klasik euc0u287 itim stratejisini; kou351 ullu model ile kullanu305 cu305 dan bau287 u305 msu305 z modeli aynu305 grafikler üzerinde ku305 yaslayan görselleu351 tirmeler (örneu287 in eu287 itim eu287 rileri, hata çubuklaru305 ) üretebilmelidir.",NFR,Should,NFR-Should,ETU,Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi.xml,284,37
Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi,24,"Sistem, küçük boyutlu dil modelleri (örn. GPT-2, Gemma-2B) ile çaluc0u305 u351 u305 rken zaman ve GPU kaynau287 u305 nu305 verimli kullanacak u351 ekilde batch biriktirme, öu287 renme oranu305 zamanlayu305 cu305 laru305 ve optimizasyon algoritmalaru305 nu305 desteklemelidir.",NFR,Should,NFR-Should,ETU,Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi.xml,275,36
Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi,25,"Sistem için hazuc0u305 rlanacak teknik dokümantasyon; RLHF aku305 u351 u305 , kou351 ullu ödül modellemesi, VAE mimarisi, adaptif örnekleme ve kullanu305 cu305 hikâyesi tabanlu305 simülasyon adu305 mlaru305 nu305 açu305 k ve akademik bir dille açu305 klamalu305 du305 r.",NFR,Should,NFR-Should,ETU,Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi.xml,270,38
Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi,26,"Sistem, farkluc0u305 kullanu305 cu305 sayu305 laru305 ve görev karmau351 u305 klu305 klaru305 için ölçeklenebilirliu287 i deu287 erlendirmek amacu305 yla otomatik deney komut dosyalaru305 (experiment runner) içerebilir.",NFR,Could,NFR-Could,ETU,Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi.xml,219,26
Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi,27,"Sistem, euc0u287 itim su305 rasu305 nda GPU bellek kullanu305 mu305 , adu305 m bau351 u305 na süre ve epoch bazlu305 yaku305 nsama hu305 zu305 nu305 gerçek zamanlu305 gösteren basit bir izleme paneli (dashboard) sunabilir.",NFR,Could,NFR-Could,ETU,Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi.xml,222,34
Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi,28,"Sistem, Docker veya benzeri konteyner teknolojileriyle paketlenerek farkluc0u305 arau351 tu305 rma ortamlaru305 na veya sunuculara kolayca dau287 u305 tu305 labilir.",NFR,Could,NFR-Could,ETU,Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi.xml,165,20
Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi,29,"Sistem, CI/CD hattuc0u305 na entegre edilerek kou351 ullu ödül modeli, veri iu351 leme ve deu287 erlendirme modülleri için temel birim testlerini her güncellemeden sonra otomatik çalu305 u351 tu305 rabilir.",NFR,Could,NFR-Could,ETU,Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi.xml,206,29
Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi,30,"Sistem mimarisi, gelecekte politika euc0u287 itimi (policy training) au351 amasu305 nu305 n da eklenebilmesine ve kiu351 iselleu351 tirilmiu351 generatif LLM’lerin uçtan uca eu287 itilmesine olanak verecek u351 ekilde modüler tasarlanabilir.",NFR,Could,NFR-Could,ETU,Farkl Kullanc Tercihleri icin Buyuk Dil Modellerinin Kisisellestirilmesi.xml,241,30
Gercek Zamanl Yapay Zeka Basketbol Sut Tespiti ve Sporcu Hareket Analizi (AI Shot),1,"Sistem, basketbol sahasuc0u305 ndan alu305 nan canlu305 kamera veya video kaydu305 nu305 kare kare iu351 leyerek gerçek zamanlu305 analiz için giriu351 verisi olarak kullanabilmelidir.",FR,Must,FR-Must,ETU,Gercek Zamanl Yapay Zeka Basketbol Sut Tespiti ve Sporcu Hareket Analizi (AI Shot).xml,184,24
Gercek Zamanl Yapay Zeka Basketbol Sut Tespiti ve Sporcu Hareket Analizi (AI Shot),2,"Sistem, pano­rama ve kuuc0u351 baku305 u351 u305 dönüu351 üm adu305 mlaru305 nu305 kullanarak basketbol sahasu305 nu305 n üstten görünümünü elde etmeli ve her kareyi bu sahaya çarptu305 rarak 2B harita üzerinde konumlandu305 rabilmelidir.",FR,Must,FR-Must,ETU,Gercek Zamanl Yapay Zeka Basketbol Sut Tespiti ve Sporcu Hareket Analizi (AI Shot).xml,238,33
Gercek Zamanl Yapay Zeka Basketbol Sut Tespiti ve Sporcu Hareket Analizi (AI Shot),3,"Sistem, her video karesinde basketbol topunu uc0u351 ablon eu351 leu351 tirme veya YOLOv8 tabanlu305 nesne tespiti ile algu305 layarak topun konumunu belirleyebilmelidir.",FR,Must,FR-Must,ETU,Gercek Zamanl Yapay Zeka Basketbol Sut Tespiti ve Sporcu Hareket Analizi (AI Shot).xml,170,22
Gercek Zamanl Yapay Zeka Basketbol Sut Tespiti ve Sporcu Hareket Analizi (AI Shot),4,"Sistem, top tespitinden sonra topun hareketini CSRT veya benzeri bir takip algoritmasuc0u305 yla kareler arasu305 nda izleyerek top yörüngesini oluu351 turabilmelidir.",FR,Must,FR-Must,ETU,Gercek Zamanl Yapay Zeka Basketbol Sut Tespiti ve Sporcu Hareket Analizi (AI Shot).xml,167,21
Gercek Zamanl Yapay Zeka Basketbol Sut Tespiti ve Sporcu Hareket Analizi (AI Shot),5,"Sistem, pota ve topun konumlaruc0u305 nu305 kullanarak topun çemberden geçip geçmediu287 ini belirleyip atu305 u351 u305 n sayu305 olup olmadu305 u287 u305 nu305 otomatik olarak tespit edebilmelidir.",FR,Must,FR-Must,ETU,Gercek Zamanl Yapay Zeka Basketbol Sut Tespiti ve Sporcu Hareket Analizi (AI Shot).xml,199,27
Gercek Zamanl Yapay Zeka Basketbol Sut Tespiti ve Sporcu Hareket Analizi (AI Shot),6,"Sistem, Detectron2 veya benzeri önceden euc0u287 itilmiu351 derin öu287 renme modelleri ile sahadaki oyuncularu305 tespit ederek her oyuncuya benzersiz bir kimlik atayabilmelidir.",FR,Should,FR-Should,ETU,Gercek Zamanl Yapay Zeka Basketbol Sut Tespiti ve Sporcu Hareket Analizi (AI Shot).xml,179,22
Gercek Zamanl Yapay Zeka Basketbol Sut Tespiti ve Sporcu Hareket Analizi (AI Shot),7,"Sistem, oyuncularuc0u305 n forma rengine göre taku305 m aitliu287 ini belirleyerek en az iki farklu305 taku305 mu305 ve hakemi birbirinden ayu305 rt edebilmelidir.",FR,Should,FR-Should,ETU,Gercek Zamanl Yapay Zeka Basketbol Sut Tespiti ve Sporcu Hareket Analizi (AI Shot).xml,163,23
Gercek Zamanl Yapay Zeka Basketbol Sut Tespiti ve Sporcu Hareket Analizi (AI Shot),8,"Sistem, topun potaya yakuc0u305 nlu305 u287 u305 nu305 , pota içinde olup olmadu305 u287 u305 nu305 ve potadan çu305 ku305 u351 anu305 nu305 kontrol eden fonksiyonlaru305 kullanarak atu305 u351 anlaru305 nu305 mantu305 ksal olarak modelleyebilmelidir.",FR,Should,FR-Should,ETU,Gercek Zamanl Yapay Zeka Basketbol Sut Tespiti ve Sporcu Hareket Analizi (AI Shot).xml,251,35
Gercek Zamanl Yapay Zeka Basketbol Sut Tespiti ve Sporcu Hareket Analizi (AI Shot),9,"Sistem, çizgi sayacuc0u305 veya bölge sayacu305 kullanarak topun veya oyuncularu305 n sahadaki belirli bölgelere giriu351 –çu305 ku305 u351 sayu305 laru305 nu305 kaydedebilmelidir.",FR,Should,FR-Should,ETU,Gercek Zamanl Yapay Zeka Basketbol Sut Tespiti ve Sporcu Hareket Analizi (AI Shot).xml,180,22
Gercek Zamanl Yapay Zeka Basketbol Sut Tespiti ve Sporcu Hareket Analizi (AI Shot),10,"Sistem, PyQt5 tabanluc0u305 bir arayüz üzerinden birden fazla kamerayu305 yöneterek kayu305 t bau351 latma, durdurma ve veri seti oluu351 turma iu351 lemlerini kullanu305 cu305 ya sunabilmelidir.",FR,Should,FR-Should,ETU,Gercek Zamanl Yapay Zeka Basketbol Sut Tespiti ve Sporcu Hareket Analizi (AI Shot).xml,195,26
Gercek Zamanl Yapay Zeka Basketbol Sut Tespiti ve Sporcu Hareket Analizi (AI Shot),11,"Sistem, MoveNet veya benzeri iskelet çuc0u305 karu305 m modelleri ile sporcunun u351 ut mekaniklerini (poz, kol açu305 su305 , bacak duruu351 u) tahmin ederek hareket analizi yapabilmelidir.",FR,Could,FR-Could,ETU,Gercek Zamanl Yapay Zeka Basketbol Sut Tespiti ve Sporcu Hareket Analizi (AI Shot).xml,190,27
Gercek Zamanl Yapay Zeka Basketbol Sut Tespiti ve Sporcu Hareket Analizi (AI Shot),12,"Sistem, top ve pota konumlaruc0u305 ndan elde edilen yörünge verilerini dou287 rusal regresyon veya alternatif yöntemlerle modelleyerek tahmini top trajektörünü görselleu351 tirebilmelidir.",FR,Could,FR-Could,ETU,Gercek Zamanl Yapay Zeka Basketbol Sut Tespiti ve Sporcu Hareket Analizi (AI Shot).xml,189,22
Gercek Zamanl Yapay Zeka Basketbol Sut Tespiti ve Sporcu Hareket Analizi (AI Shot),13,"Sistem, atuc0u305 u351 denemeleri, bau351 aru305 lu305 u351 utlar, kaçan u351 utlar ve oyuncu bazlu305 istatistikleri maç veya antrenman bazu305 nda raporlayabilmelidir.",FR,Could,FR-Could,ETU,Gercek Zamanl Yapay Zeka Basketbol Sut Tespiti ve Sporcu Hareket Analizi (AI Shot).xml,169,22
Gercek Zamanl Yapay Zeka Basketbol Sut Tespiti ve Sporcu Hareket Analizi (AI Shot),14,"Sistem, DeepSORT veya ByteTrack gibi çoklu nesne takip algoritmalaruc0u305 nu305 kullanarak oyuncu ve top takibini aynu305 anda yürütebilmelidir.",FR,Could,FR-Could,ETU,Gercek Zamanl Yapay Zeka Basketbol Sut Tespiti ve Sporcu Hareket Analizi (AI Shot).xml,145,18
Gercek Zamanl Yapay Zeka Basketbol Sut Tespiti ve Sporcu Hareket Analizi (AI Shot),15,"Sistem, iuc0u351 lenmiu351 kareleri tespit ve takip anotasyonlaru305 çizili halde yeni bir video dosyasu305 na kaydederek görsel çu305 ktu305 üretebilmelidir.",FR,Could,FR-Could,ETU,Gercek Zamanl Yapay Zeka Basketbol Sut Tespiti ve Sporcu Hareket Analizi (AI Shot).xml,158,20
Gercek Zamanl Yapay Zeka Basketbol Sut Tespiti ve Sporcu Hareket Analizi (AI Shot),16,"Sistem, gerçek zamanluc0u305 u351 ut tespiti senaryosunda tipik çözünürlükteki bir video aku305 u351 u305 nu305 en az saniyede 25 kare hu305 zu305 nda iu351 leyebilecek performansu305 sau287 lamalu305 du305 r.",NFR,Must,NFR-Must,ETU,Gercek Zamanl Yapay Zeka Basketbol Sut Tespiti ve Sporcu Hareket Analizi (AI Shot).xml,209,30
Gercek Zamanl Yapay Zeka Basketbol Sut Tespiti ve Sporcu Hareket Analizi (AI Shot),17,"Top ve pota tespit modeli, test veri seti üzerinde belirlenen minimum douc0u287 ruluk ve IoU eu351 iklerini karu351 u305 layarak hatalu305 tespit oranu305 nu305 kabul edilebilir seviyede tutmalu305 du305 r.",NFR,Must,NFR-Must,ETU,Gercek Zamanl Yapay Zeka Basketbol Sut Tespiti ve Sporcu Hareket Analizi (AI Shot).xml,206,30
Gercek Zamanl Yapay Zeka Basketbol Sut Tespiti ve Sporcu Hareket Analizi (AI Shot),18,"Çoklu nesne takip bileuc0u351 eni, MOTA ve IDF1 gibi takip metriklerinde literatürdeki benzer çalu305 u351 malara yaku305 n veya daha yüksek performans deu287 erlerine ulau351 mayu305 hedeflemelidir.",NFR,Must,NFR-Must,ETU,Gercek Zamanl Yapay Zeka Basketbol Sut Tespiti ve Sporcu Hareket Analizi (AI Shot).xml,199,27
